职位,公司名称,薪资范围,城市,经验要求,学历要求,领域,公司性质,规模,标签
SAP工程师,前程无忧校园,7千-1万,苏州,在校生/应届生,本科,专业服务(咨询、人力资源、财会),外资（非欧美）,,"['sap', '财务', '金融', '会计', '五险一金', '免费班车', '员工旅游', '餐饮补贴', '专业培训', '出国机会', '定期体检', '年终奖金']"
大数据运维技术负责人 (MJ000370),卓望数码技术（深圳）有限公司,3-5万·13薪,苏州,10年及以上,本科,通信/电信/网络设备,外资（非欧美）,1000-5000人,"['大数据运维', '运维体系建设', '方案', '培训']"
QMS流程软件开发经理,苏州方之见企业管理顾问有限公司,1.5-2.5万,苏州,3年及以上,本科,专业服务(咨询、人力资源、财会),民营,50-150人,"['流程管理', '定制化开发', '对外服务', '数字化软件', 'qms', '企业决策', '五险一金', '年终奖金', '绩效奖金', '专业培训', '餐饮补贴', '员工旅游', '带薪年假', '节日福利', '交通补贴', '周末双休', '弹性工作', '双休']"
Educational Consultant,昆山杜克大学,1-1.2万,昆山,2年及以上,硕士,教育/培训/院校,外资（欧美）,150-500人,"['教育顾问', '社会科学', '教育学', '大学老师', '中学老师', '教学理论辅导', '教学技术', '教学方法论', '英文', '五险一金', '专业培训', '定期体检', '周末双休', '补充医疗保险', '免费班车']"
QMS流程软件开发经理,苏州方之见企业管理顾问有限公司,1.5-2.5万,苏州,3年及以上,本科,专业服务(咨询、人力资源、财会),民营,50-150人,"['流程管理', '定制化开发', '对外服务', '数字化软件', 'qms', '企业决策', '五险一金', '年终奖金', '绩效奖金', '专业培训', '餐饮补贴', '员工旅游', '带薪年假', '节日福利', '交通补贴', '周末双休', '弹性工作', '双休']"
软件开发经理,苏州方之见企业管理顾问有限公司,1.5-2.5万,苏州,3年及以上,本科,专业服务(咨询、人力资源、财会),民营,50-150人,"['软件开发', 'crm', '企业管理', 'plm', '流程管理', '需求对接', '定制化开发', '算法开发', '企业软件', '对外服务', '五险一金', '年终奖金', '绩效奖金', '专业培训', '餐饮补贴', '员工旅游', '带薪年假', '节日福利', '交通补贴', '周末双休', '弹性工作', '双休']"
软件开发经理,苏州方之见企业管理顾问有限公司,1.5-2.5万,苏州,3年及以上,本科,专业服务(咨询、人力资源、财会),民营,50-150人,"['软件开发', 'crm', '企业管理', 'plm', '流程管理', '需求对接', '定制化开发', '算法开发', '企业软件', '对外服务', '五险一金', '年终奖金', '绩效奖金', '专业培训', '餐饮补贴', '员工旅游', '带薪年假', '节日福利', '交通补贴', '周末双休', '弹性工作', '双休']"
信息化项目经理,德尔未来科技控股集团股份有限公司,8千-1.5万,苏州,3-4年,大专,建筑/建材/工程,已上市,1000-5000人,"['五险一金', '员工旅游', '股票期权', '年终奖金', '绩效奖金', '弹性工作', '定期体检', '交通补贴', '通讯补贴']"
IT专员,江苏航天龙梦信息技术有限公司,8千-1万·14薪,常熟,3年及以上,本科,电子技术/半导体/集成电路,国企,150-500人,"['管理', '服务器', '信息管理', '网络设备', '信息化', '计算机科学', '保密', '信息化规划', 'gjb', '安装调试维护', '五险一金', '定期体检', '专业培训', '餐饮补贴', '交通补贴', '周末双休']"
高级运维（SRE）工程师(A08006),深圳市正浩创新科技股份有限公司,2.5-5万·15薪,苏州,7年及以上,本科,新能源,民营,1000-5000人,"['培训', '计算机', '运维', 'shell', 'docker', 'jenkins', '中间件', '技术指导', '网络安全', '网络协议']"
mes实施顾问,鼎捷数智股份有限公司,1.3-2万,苏州,2年及以上,本科,计算机软件,已上市,1000-5000人,"['方案', '培训', '六险一金', '补充医疗保险', '员工旅游', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '定期体检', '带薪年假', '有餐补']"
erp实施专员,苏州易开迪新能源技术有限公司,1-1.5万·13薪,苏州,3年及以上,本科,贸易/进出口,民营,50-150人,"['测试', 'c#', '归档', '.net', '系统开发', '文档撰写', 'mssqlserver', '应用系统', '基础架构', '迭代开发', '五险一金', '年终奖金', '员工旅游', '绩效奖金', '弹性工作', '餐饮补贴', '出国机会', '专业培训']"
